01.txt,Vídeo mostra comissárias tirando a roupa para protestar contra obrigatoriedade de vacinas. Circula pelas redes sociais um vídeo que mostra comissárias de bordo italianas tirando a roupa durante uma manifestação organizada em uma praça pública. Uma legenda que acompanha as imagens diz que o protesto foi feito contra a obrigatoriedade das vacinas contra a Covid.
02.txt,"Máscaras chinesas revelam vermes quando colocadas no vapor, mostra vídeo. Vídeo mostra supostas máscaras da China cheia de vermes que são ativados pelo vapor da água e pelo calor. “Quando você vai usar uma máscara, por exemplo, e você faz um simples teste com vapor, ou seja, ó, as máscaras que vêm do Xing Ling, tá? Máscara lacrada, dentro do saquinho, acabou de tirar, coloca no vapor da água. Só o calor. Aí, você observa o que vai acontecer com o que está dentro da máscara. Você não vai acreditar no que tem dentro da máscara. Adivinha. Adivinha o que tá dentro dessa máscara, pessoal. Só o calor tá entrando em contato aí, o vapor, tá? Ó, pega uma vasilha, enche de água quente que sai vapor e veja o que vai acontecer com essa máscara que veio do Xing Ling. A máscara já tem coisas dentro. O que será que tem dentro, no meio dessa máscara? Ah, talvez, agora, você vai começar a ver alguns pontinhos pretos se mexerem aí. Alguns filamentozinhos se mexerem. É, preste atenção nesse vídeo. Olha ali, olha ali se mexendo. O mesmo filamento que está nas pontas dos cotonetes. E nas máscaras têm bastante. Então, você coloca uma máscara dessa no rosto, essas máscaras Xing Ling, e, conforme você vai falando, a sua máscara vai esquentando por causa do calor do seu gás carbônico liberado pelo pulmão. Então, esse bichinho vai começar a entrar em você pela boca, pelo nariz. Você vai engoli-lo, vai entrar no seu pulmão e vai pro seu cérebro, vai pra sua corrente sanguínea e vai fazer o que quiser com você. Sabe-se lá o que que vai fazer. Olha isso, pessoal. Não é brincadeira, isso não é brincadeira. Olha lá”."
03.txt,"Vacinas contra Covid-19 (como a Coronavac) causam Alzheimer e têm níveis tóxicos de alumínio. Por causa de níveis tóxicos de alumínio em imunizantes como a Coronavac, vacinas estão causando demência e Alzheimer nas pessoas. Elas também serão um mal para crianças, pilotos de avião e suscitam dissolução de corpos nos EUA. Uma das informações aponta que, por causa das vacinas, haverá uma explosão de casos do Mal de Alzheimer e de demência na população. Também é dito que a Coronavac tem níveis tóxicos de alumínio em sua fórmula, que pilotos vacinados estão tendo AVC e que, por causa das vacinas, estados norte-americanos estão aprovando uma lei para dissolver corpos."
04.txt,"Texto que circula nas redes sociais diz que médicos poloneses denunciaram supostos “experimentos ilegais realizados com bebês órfãos na Polônia, Espanha, Finlândia e Estados Unidos”. Os experimentos, diz o texto, visam “testar suas novas vacinas de engenharia genética“"
05.txt," EUA encontraram a cura para o novo coronavírus após teste no Hospital de Stanford. EUA desenvolveram a cura para a Covid-19 e conseguiram tratar, de forma definitiva, 40 pacientes em estado grave durante um teste do Hospital de Stanford. “Senhores, acabou de ser divulgado em Stanford que 100% dos 40 casos testados com hidroxicloroquina e azitromicina associados zeraram o PCR para Covid-19, ou seja, eles curaram a doença. Então, esse protocolo já tá sendo usado no Hospital do Coração e na Prevent Sênior a partir de hoje. Isso, provavelmente, vai mudar completamente o curso da doença”."
06.txt,"Bill Gates contesta vacinas e diz que elas falharam contra Covid-19. Bill Gates admite falha das vacinas e contesta a eficácia dos imunizantes contra a Covid-19, aponta mensagem. Após 7,4 bilhões de braços picados, Bill Gates contesta as vacinas. Bill Gates admitindo o fracasso das vacinas e aqui no Brasil os “sientistas” querendo obrigar todo mundo a torná-las, inclusive sob pena de perder o emprego por justa causa. Bill Gates admite que vacinas não impedem a propagação da Covid. O globalista Bill Gates finalmente admite a falha das vacinas COVID "
07.txt,"Eficácia da Coronavac: os testes no grupo de risco dos idosos foram “reduzidos” e a eficácia da vacina, em torno de 50%, é muito baixa e não garante o fim da pandemia"
08.txt,Vacinados devem ser isolados de não-vacinados sob risco de os infectar. Os vacinados contra a Covid-19 devem ser isolados porque são perigosos. São uma ameaça para não-vacinados porque podem os infectar. A última que está circulando por aí aponta para uma sugestão: que as pessoas vacinadas (que seriam “muito perigosas”) seriam isoladas das pessoas não-vacinadas (que estariam sofrendo um grande risco por causa de quem se vacinou. VACINADOS DEVEM SER ISOLADOS E AFASTADOS DOS NÃO VACINADOS SOB RISCO DE INFECTA-LO
09.txt,"Vacinas causam fibrina no sangue de todos vacinados e crianças não devem ser vacinadas. Análises microscópicas mostram que vacina causa fibrina no sangue e, por isso, crianças e adolescentes não devem se vacinar. Eu confesso pra vocês que eu estou muito impactada, muito impactada em saber que a vacina, quem tomou a vacina vai ter que se tratar o resto da vida. Assim como eu. Eu tomei a vacina. Através da microscopia ontem, eu pude conferir no meu sangue no microscópio várias fibrinas. A vacina, a proteína Spaker, que eles chamam, ela libera na corrente sanguínea várias fibrinas, causando coagulação no sangue. Por isso que muita gente vem a óbito, muita gente dá problema no coração, né? Infarto do miocárdio, é… várias outras doenças vêm se desenvolvendo, devido à quantidade de fibrina. Então, assim ó, pra mim, eu fiquei muito impactada. Eu era o meu sangue. E realmente, assim, o que o pessoal falava e a gente não acreditava muito ou tava em cima do muro, né? E vacinei, eu vacinei pra conferir e ontem eu pude ver a realidade. A gravidade do problema. E não é hoje, na verdade, muitas pessoas vão passar por isso, tão passando por isso e dizendo: ah, não, eu tô passando por isso numa boa. Tomei a vacina e tô bem, não tive nenhum efeito colateral. Mas agora você pode não ter efeito colateral e daqui a um ano? Daqui 2 anos? Daqui 3 anos? As consequências vão ser graves, gente. Então, eu vou fazer um pedido aqui pra vocês: não vacinem as crianças, não vacinem os adolescentes. Eles têm a imunidade boa, a imunidade deles é alta, né? Na maioria das crianças. Eles têm a defesa imunológica boa. Então, não façam isso com as crianças, porque muita família vai chorar, como já está chorando”. Depoimento de alguém que tomou a vacina e foi estudar sobre o assunto. Ela viu seu sangue no microscópio e é o que tem no sangue de todos os vacinados!!! Pelo RESTO DA VIDA!!! NÃO VACINEM AS CRIANÇAS E JOVENS!!! VOCÊS ESTÃO MATANDO OS PRÓPRIOS FILHOS!!! Quem tomou a vacina, vai ter que se tratar pelo resto da vida, como ela. #hidromolecular fibrinas #sangue Meus sentimentos a todos os enlutados por esse plano diabólico. Pense. É de graça!”. New photo posted in FRAUDEMIA: ‘Dr. Pedro Garcia, médico português, analisando o SANGUE de 16 pacientes “VACINADOS”, em 9/10/2021. A seguir, EFEITOS observados comum a todos, em MICROSCOPIA de Campo Escuro. Fig. 1: OXIDAÇÃO externa nas hemáceas (glóbulos vermelhos), com espaiques. 2: Oxidação INTERNA nas hemáceas, com espaiques internos. 3: Hemáceas ENGATADAS UMAS NAS OUTRAS, fenômeno chamado de “roleau”. 4: Existência de muitas entidades retas brilhantes. Fenômeno INÉDITO na literatura médica. Logo, o óxido de grafeno das vacinas será considerado um fato. 5: Aglomeração de glóbulos brancos EM EXCESSO no sangue. Esta ANORMALIDADE deve-se a uma ação de resposta emergencial do sistema imunológico a algo não identificado pelo médico. 6: Processo TROMBÓTICO: agregação PLAQUETÁRIA, OXIDAÇÃO e AGLOMERAÇÃO de hemáceas e EXCESSO de fibrinas, indicativo de COAGULAÇÃO.’”"
10.txt,"Vacinas contra Covid-19 vem com citomegalovírus, epstein-barr, HIV e HPV para causar câncer e doenças autoimunes na população. Insumos chineses das vacinas contra a Covid-19 contêm citomegalovírus, epstein-barr, HIV e HPV para adoecer população com doenças autoimunes ou câncer. “VIRALIZE ISSO Dr. Nelson Modesto – Prova que insumos das vacinas causam principalmente DOENÇAS auto-imune, assim como detectou nelas: Cito-Megalovirus Epstein Bar – HIV – HPV – TODOS estes acima criados desencadeiam CANCER Tem Adenovirus Endenovirus – Tem Óxido de Grafeno – Nagalase – provoca imunosupressão Nanopartículas de Grafeno, potencializa a partícula Spike que funciona para muitos como doença de Prion (doença da vaca louca) DOMINGO Dia 24-10-21 LEVANTE-SE pelos seus filhos LEVANTE-SE pelas nossas crianças LEVANTE-SE por aqueles que amas LEVANTE-SE pela liberdade de decidir o que entra no seu corpo LEVANTE-SE pelo seu país Falamos de tudo isso com o Dr. R.K. que colabora aqui com o @lifeforcebrasil – Agora ouvindo novamente assim da para você entender que: Estamos sendo atacados REAJA enquanto ainda temos a chance. SAIA PARA AS RUAS Apoio: @LifeForceBrasil @TudoEhEnergia_mygalaxy @LFB_Boicote”. “Hoje eu estive dando um curso para a área de saúde. Amanhã apresento, no meu congresso de BDORT, o meu trabalho provando que o insumo chinês foi feito propositadamente para que a população desenvolvesse, nesses próximos anos, principalmente, doença autoimune e câncer. Nas vacinas, eu detectei citomegalovírus, epstein-barr, HIV, HPV e outros sem grande importância, como adenovírus e enterovírus. Mas todos esses quadros iniciais são oncogênicos, eles desencadeiam câncer. Eu vejo falando já há tempo pra vocês reagirem, para vocês se erguerem e colocarem em uma posição do médico, como ele merece, dando opinião na área de saúde e tirando esses vagabundos, todos os políticos que estão nos obrigando a calar. Eu não calo. Amanhã, tô passando pelo Congresso, que eu pedi que não fosse divulgado antes, porque é um pedido do Congresso tudo que eu escrevi, que eu provo, que está no insumo chinês: nagalase, óxido de grafeno e nanopartículas de grafeno. Nagalase provoca imunossupressão. Nanopartículas de grafeno é o suporte de facilitação e potencialização da partícula Spike, é a proteína que, na realidade, para muitos vai funcionar como um prion. Se vocês sabem o que é prion? É doença de Crohn, é uma neurodegeneração que se faz rapidamente, em pouco tempo. Nós vamos continuar ainda calado? Cada um pense um pouco melhor. Eu já venho falando e tenho falado: os médicos precisam se unir. Eu tento puxar do meu grupo para se unirem, para nós podermos, poder em conjunto ter mais força. Porque nós sozinhos vamos ser massacrados, como estamos sendo. Cada um que se aparece um pouco mais, que se alvora um pouco mais, está sendo massacrado. Ou vocês pensam que o Wong, o chinês, que era pediatra, morreu como uma coisa comum? Nos Estados Unidos, em dois anos, 27 cientistas e médicos desapareceram. O médico que falava aqui, na nagalase, que estava nas vacinas, foi encontrado morto com tiro no peito e diz que ele se suicidou e jogou no rio. Conversa! Quanto tempo vocês vão continuar com os ouvidos tapados? Eu amanhã, depois de fizer, fazer a minha apresentação online, que vai direto para o Japão, tudo escrito em inglês, eu vou tentar passar por e-mail para quem passar para mim e-mail. Eu vou passar todo o meu trabalho. Boa noite”."
11.txt,"China acaba de soltar milhares de pássaros (morcegos) criados em laboratório no oceano. A China acabou de soltar milhares de pássaros (ou morcegos) criados em laboratório no oceano. Uma nova pandemia está a vista. No começo dessa semana a China soltou milhares de pássaros no oceano. O quê será que vem por aí? Versão 2: a China solta milhares de pássaros criados em laboratório, la vem mais terror por ai.Por que está soltando no.mar? Qual nome do Filme? Versão 3: China solta milhares de pássaros (morcegos), criados em laboratório. Muito estranho. Será que vem merda por aí?"""
12.txt,"Pfizer rastreia vacinados por controle remoto e GPS de grafeno e microondas. Pfizer aprova patente para rastrear todos os vacinados por meio de microondas, GPS, grafeno e controle remoto. Versão 1: “INTERNACIONAL – PFIZER RASTREIA VACINAS POR CONTROLE REMOTO – PATENTE. Fake? Veremos”. Versão 2: “Foi aprovada a patente da Pfizer para o rastreamento dos humanos vacinados no mundo todo por meio de microondas e grafeno armazenado no tecido adiposo dos vacinados. Essa solicitação de patente da Pfizer foi aprovada no dia 31 de agosto de 2021 e é a primeira patente que aparece em uma lista de mais de 18500 [requisições] com o propósito de rastrear o contato remoto de todos os humanos vacinados em todo o mundo que estarão ou estão agora conectados à “internet das coisas” por uma ligação quântica de frequências de microondas pulsantes de 2,4 gHz ou mais a partir das torres telefônicas e dos satélites diretamente ao óxido de grafeno armazenado no tecido adiposo de todas as pessoas que tomaram a injeção da morte”."
13.txt,"Anvisa diz vacinas contra Covid-19 têm mais de mil mortes. Alerta da Anvisa afirma que a vacina de Covid-19 já causou mais de mil mortes e 15 mil reações adversas. O número é muito maior, tem pessoas que eu conheço não estão nessa lista. Vacinas para covid já têm 1.144 mortes suspeitos e mais de 15 mil reações adversas, informa Anvisa. A Coronavac aparece associada a 911 óbitos suspeitos e 3.625 casos de reações adversas. Já o “imunizante” da gigante farmacêutica AstraZenica é responsável por 211 mortes suspeitas e 10.617 efeitos adversos. "
14.txt,"Bebê na Turquia nasce com deformações por causa da vacina mRNA contra Covid-19. Na Turquia, bebê nasce com malformação por causa de vacina mRNA e oponente turco, ao lado de médicos, denuncia caso. “Turquia :Aqui está, talvez, o primeiro bebê registrado em vídeo , afetado pela vacina covid experimental, de uma mulher vacinada durante a gravidez , e mostrado ao mundo , conforme denunciado pelo oponente turco ao mostrar as fotos na TV, ao lado de 3 médicos”."
15.txt,"Presídio de Alcaçuz não teve mortes por Covid-19 por causa de tratamento com ivermectina . Em Alcaçuz (RN), presídio não registrou nenhuma morte por Covid-19, porque diretor-clínico obrigou o uso de ivermectina. Versão 1: “ZERO ÓBITOS POR COVID…………COM TRAT. IMEDIATO…………Dir. Cli DA SAÚDE DO PRESÍDIO DE ALCAÇUZ FALA SOBRE O SUCESSO DO PROTOCOLO COM USO DE IVERMECTINA AUTORIZADO.( Trat. Precoce).  1.700 detentos e zero óbito.  Se fosse usado no Brasil ,poucas mortes”. Versão 2: “INCRÍVEL: Uso de ivermectina faz com que presídio não tenha casos graves e nem mortes por Covid-19, diz médico. O diretor-clínico do presídio de Alcaçuz detalhou como tem tratado os detentos do maior presídio do RN”.Versão 3: “INCRÍVEL: Uso de ivermectina faz com que presídio não tenha casos graves e nem mortes por Covid-19, diz médico; O diretor-clínico do presídio de Alcaçuz, doutor detalhou como tem tratado os detentos do maior presídio do Rio Grande do Norte. O médico explicou que criou um protocolo usando medicamentos como Azitromicina, Ivermectina e, em alguns casos, corticoide. Desde o início da pandemia, nenhum preso morreu ou evoluiu para um caso grave, segundo relatou. Ele disse ainda que usa Ivermectina nesse presídio há 4 anos para combater escabiose e adaptou o tratamento para a Covid-19. Dos quase 1.700 detentos de Alcaçuz, houve 224 casos confirmados até o momento, mas nenhum caso grave registrado. As informações são do Grande Ponto”."
16.txt,"União Europeia substituirá vacinas por ivermectina.A União Europeia anunciou que, a partir de 20 de outubro de 2021, não vai mais utilizar vacinas. No lugar, será utilizada a ivermectina para tratamento contra a Covid-19.UNIÃO EUROPEIA SUBSTITUIRÁ VACINAS POR IVERMECTINA Boas notícias para quem não gosta da vacina covid-19: A PARTIR DE 20.10.2021, COVID TRIAL E PROTEÇÃO DE VACINAS PARA COVID-19 SERÃO CANCELADOS TODOS NA EUROPA … Todas as vacinas não serão mais aprovadas a partir de 20 de outubro de 2021. A União Europeia aprovou cinco terapias que estarão disponíveis em todos os hospitais dos Estados-Membros para o tratamento de covid-19. https://ec.europa.eu/commission/presscorner/detail/fr/ip_21_3299?fbclid=IwAR2fuWXfyuWrvjQy3hVCIA3SF1DdWKpXQg2C3Dte8VQwE4yk-Zsf1I_9dnw"
17.txt,"Pfizer lança ivermectina como remédio para combate à Covid-19.A Pfizer lançou um remédio para combate à Covid-19 com ivermectina na fórmula. O medicamento PF-07321332 poderia ser chamado de Pfizermectin. Versão 1: OUTRA PEÇA DO QUEBRA-CABEÇA ANTI-IVERMECTINA DOS EUA PODE TER EMERGIDO. NA SEGUNDA-FEIRA, A PFIZER ANUNCIOU QUE ESTÁ LANÇANDO UM TESTE ACELERADO DA FASE 2/3 PARA UMA PÍLULA PROFILÁTICA COVID PROJETADA PARA AFASTAR O COVID NAQUELES QUE PODEM TER ENTRADO EM CONTATO COM A DOENÇA. Coincidentemente (ou não), a droga da Pfizer compartilha pelo menos um mecanismo de ação como a Ivermectina – um anti-parasitico usado em humanos por décadas, que funciona como um inibidor de protease contra o Covid-19, que os pesquisadores especulam que “poderia ser a base biofísica por trás de sua eficiência antiviral”.Versão 2: Eis que a nova droga da Pfizer – que alguns chamaram de “Pfizermectin”, é descrita pela gigante farmacêutica como um “potente inibidor de protease”. *Pronto, problema resolvido! Pfizer lança “Pfizermectine” para profilaxia da covid.* À partir do lançamento deste clone patenteado da Ivermectina. ex-vermífugo genérico, o tratamento precoce da covid-19, “milagrosamente”, passará de demonizado a incentivado. Quem viver, verá. Ivermectina Pfizer !!! Quem diria !!!!"
18.txt,"Jovens estão morrendo de parada cardíaca por tomar vacina da Pfizer contra Covid-19.Após tomarem a vacina da Pfizer, ao menos cinco adolescentes brasileiros tiveram parada cardíaca e morreram. A decisão foi tomada após diversos casos de infarto entre adolescentes vacinados serem relatados. Só no Brasil, já existiriam cerca de 5 casos. Também é dito que, na bula da vacina Pfizer (a única aplicada em adolescentes no Brasil), a empresa recomenda o imunizante apenas para pessoas maiores de 16 anos. Junto ao vídeo há uma mensagem que diz “Riscos. Precisam investigar! Jovens morrendo de parada cardíaca. Bolsonaro tem razão”."
19.txt,"Vacinas não serão mais necessárias porque remédios (como a ivermectina) serão aprovadas para terapia contra Covid-19. Conselho da União Europeia aprovou 5 medicamentos (como a ivermectina) para terapia da Covid-19 e vacinas não serão necessárias. “IMPORTANTISSIMO PARA DISTRIBUIR A TODOS que não querem ser “vacinados”.  Todas as vacinas não serão mais justificadas a partir de 20/10/2021: informações verificadas.  A União Europeia aprovou (https://ec.europa.eu/com…/presscorner/detail/fr/ip_21_3299) 5 terapias que estarão disponíveis em todos os hospitais dos Estados-Membros para tratar Covid.  Essas terapias são aprovadas por decreto do Conselho Europeu (parlamento europeu) e estarão em funcionamento a partir de 01/10, portanto serão distribuídas aos poucos por volta de 20/10.  As vacinas foram aprovadas em “forma experimental provisória”, porém, como por decreto, haverá a obrigatoriedade de prescrição desses 5 novos medicamentos, o uso da vacina será encerrado.  Assim, entendemos porque todos os estados disseram “entre setembro é necessário que …”.  Eles já sabiam de tudo.  Você tem que ter paciência. Não aceite nenhuma chantagem.  Seja paciente. Agora que a ivermectina foi autorizada novamente, não há necessidade de vacina. Ótima notícia. O Institut Pasteur reconhece a eficácia da Ivermectina. Em algumas pessoas, uma única ingestão poderia erradicar todo o material genético da SARS covid-19. Leia bem e compartilhe. Boas notícias: a ivermectina é agora cientificamente reconhecida como uma droga eficaz na profilaxia e no tratamento da Covid-19 por pesquisadores do Instituto Pasteur da França. Os resultados de seus estudos foram publicados na revista EMBO Molecular Medicine em 12 de julho de 2021, portanto, é recente. Uma análise dos resultados de outra pesquisa publicada no American Journal of Therapeutics pede duramente, com evidências de apoio, que se substitua as diretrizes das agências de saúde e inclua a ivermectina como o padrão de tratamento. O governo de Macron sabia disso… Esteja bem e não hesite em torcer para quem não deseja ser vacinado”."
